Unnamed: 0,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,2008,1,3,4,2003.0,1955,2211.0,2225,WN,335,N712SW,128.0,150.0,116.0,-14.0,8.0,IAD,TPA,810,4.0,8.0,0,N,0,,,,,
1,2008,1,3,4,754.0,735,1002.0,1000,WN,3231,N772SW,128.0,145.0,113.0,2.0,19.0,IAD,TPA,810,5.0,10.0,0,N,0,,,,,
2,2008,1,3,4,628.0,620,804.0,750,WN,448,N428WN,96.0,90.0,76.0,14.0,8.0,IND,BWI,515,3.0,17.0,0,N,0,,,,,
4,2008,1,3,4,1829.0,1755,1959.0,1925,WN,3920,N464WN,90.0,90.0,77.0,34.0,34.0,IND,BWI,515,3.0,10.0,0,N,0,2.0,0.0,0.0,0.0,32.0
5,2008,1,3,4,1940.0,1915,2121.0,2110,WN,378,N726SW,101.0,115.0,87.0,11.0,25.0,IND,JAX,688,4.0,10.0,0,N,0,,,,,
6,2008,1,3,4,1937.0,1830,2037.0,1940,WN,509,N763SW,240.0,250.0,230.0,57.0,67.0,IND,LAS,1591,3.0,7.0,0,N,0,10.0,0.0,0.0,0.0,47.0
10,2008,1,3,4,706.0,700,916.0,915,WN,100,N690SW,130.0,135.0,106.0,1.0,6.0,IND,MCO,828,5.0,19.0,0,N,0,,,,,
11,2008,1,3,4,1644.0,1510,1845.0,1725,WN,1333,N334SW,121.0,135.0,107.0,80.0,94.0,IND,MCO,828,6.0,8.0,0,N,0,8.0,0.0,0.0,0.0,72.0
15,2008,1,3,4,1029.0,1020,1021.0,1010,WN,2272,N263WN,52.0,50.0,37.0,11.0,9.0,IND,MDW,162,6.0,9.0,0,N,0,,,,,
16,2008,1,3,4,1452.0,1425,1640.0,1625,WN,675,N286WN,228.0,240.0,213.0,15.0,27.0,IND,PHX,1489,7.0,8.0,0,N,0,3.0,0.0,0.0,0.0,12.0
17,2008,1,3,4,754.0,745,940.0,955,WN,1144,N778SW,226.0,250.0,205.0,-15.0,9.0,IND,PHX,1489,5.0,16.0,0,N,0,,,,,
18,2008,1,3,4,1323.0,1255,1526.0,1510,WN,4,N674AA,123.0,135.0,110.0,16.0,28.0,IND,TPA,838,4.0,9.0,0,N,0,0.0,0.0,0.0,0.0,16.0
19,2008,1,3,4,1416.0,1325,1512.0,1435,WN,54,N643SW,56.0,70.0,49.0,37.0,51.0,ISP,BWI,220,2.0,5.0,0,N,0,12.0,0.0,0.0,0.0,25.0
21,2008,1,3,4,1657.0,1625,1754.0,1735,WN,623,N724SW,57.0,70.0,47.0,19.0,32.0,ISP,BWI,220,5.0,5.0,0,N,0,7.0,0.0,0.0,0.0,12.0
22,2008,1,3,4,1900.0,1840,1956.0,1950,WN,717,N786SW,56.0,70.0,49.0,6.0,20.0,ISP,BWI,220,2.0,5.0,0,N,0,,,,,
23,2008,1,3,4,1039.0,1030,1133.0,1140,WN,1244,N714CB,54.0,70.0,47.0,-7.0,9.0,ISP,BWI,220,2.0,5.0,0,N,0,,,,,
25,2008,1,3,4,1520.0,1455,1619.0,1605,WN,2553,N394SW,59.0,70.0,50.0,14.0,25.0,ISP,BWI,220,2.0,7.0,0,N,0,,,,,
26,2008,1,3,4,1422.0,1255,1657.0,1610,WN,188,N215WN,155.0,195.0,143.0,47.0,87.0,ISP,FLL,1093,6.0,6.0,0,N,0,40.0,0.0,0.0,0.0,7.0
27,2008,1,3,4,1954.0,1925,2239.0,2235,WN,1754,N243WN,165.0,190.0,155.0,4.0,29.0,ISP,FLL,1093,3.0,7.0,0,N,0,,,,,
30,2008,1,3,4,2107.0,1945,2334.0,2230,WN,362,N798SW,147.0,165.0,134.0,64.0,82.0,ISP,MCO,972,6.0,7.0,0,N,0,5.0,0.0,0.0,0.0,59.0
33,2008,1,3,4,1312.0,1300,1546.0,1550,WN,1397,N247WN,154.0,170.0,140.0,-4.0,12.0,ISP,MCO,972,7.0,7.0,0,N,0,,,,,
34,2008,1,3,4,1449.0,1430,1715.0,1720,WN,3398,N707SA,146.0,170.0,134.0,-5.0,19.0,ISP,MCO,972,6.0,6.0,0,N,0,,,,,
35,2008,1,3,4,1634.0,1555,1859.0,1845,WN,3480,N443WN,145.0,170.0,134.0,14.0,39.0,ISP,MCO,972,5.0,6.0,0,N,0,,,,,
37,2008,1,3,4,1812.0,1650,1927.0,1815,WN,422,N779SW,135.0,145.0,118.0,72.0,82.0,ISP,MDW,765,6.0,11.0,0,N,0,3.0,0.0,0.0,0.0,69.0
38,2008,1,3,4,1127.0,1105,1235.0,1230,WN,1837,N704SW,128.0,145.0,114.0,5.0,22.0,ISP,MDW,765,9.0,5.0,0,N,0,,,,,
39,2008,1,3,4,1424.0,1355,1531.0,1520,WN,2871,N709SW,127.0,145.0,113.0,11.0,29.0,ISP,MDW,765,8.0,6.0,0,N,0,,,,,
40,2008,1,3,4,1326.0,1230,1559.0,1530,WN,1056,N459WN,153.0,180.0,143.0,29.0,56.0,ISP,PBI,1052,5.0,5.0,0,N,0,0.0,0.0,0.0,0.0,29.0
41,2008,1,3,4,1749.0,1725,2019.0,2030,WN,2175,N621SW,150.0,185.0,138.0,-11.0,24.0,ISP,PBI,1052,4.0,8.0,0,N,0,,,,,
42,2008,1,3,4,726.0,720,958.0,1020,WN,3319,N206WN,152.0,180.0,140.0,-22.0,6.0,ISP,PBI,1052,4.0,8.0,0,N,0,,,,,
43,2008,1,3,4,646.0,640,929.0,955,WN,3667,N280WN,163.0,195.0,151.0,-26.0,6.0,ISP,RSW,1101,3.0,9.0,0,N,0,,,,,
44,2008,1,3,4,1153.0,1140,1428.0,1440,WN,2006,N241WN,155.0,180.0,143.0,-12.0,13.0,ISP,TPA,1034,4.0,8.0,0,N,0,,,,,
45,2008,1,3,4,1528.0,1510,1802.0,1810,WN,3858,N200WN,154.0,180.0,144.0,-8.0,18.0,ISP,TPA,1034,4.0,6.0,0,N,0,,,,,
48,2008,1,3,4,1450.0,1435,1806.0,1745,WN,3244,N475WN,136.0,130.0,121.0,21.0,15.0,JAN,BWI,888,7.0,8.0,0,N,0,0.0,0.0,6.0,0.0,15.0
49,2008,1,3,4,2245.0,1730,2354.0,1850,WN,186,N792SW,69.0,80.0,59.0,304.0,315.0,JAN,HOU,359,3.0,7.0,0,N,0,282.0,0.0,0.0,0.0,22.0
52,2008,1,3,4,2025.0,1940,2135.0,2100,WN,3154,N252WN,70.0,80.0,60.0,35.0,45.0,JAN,HOU,359,3.0,7.0,0,N,0,26.0,0.0,0.0,0.0,9.0
53,2008,1,3,4,1038.0,945,1314.0,1225,WN,1035,N346SW,96.0,100.0,81.0,49.0,53.0,JAN,MCO,587,8.0,7.0,0,N,0,7.0,0.0,0.0,0.0,42.0
54,2008,1,3,4,1900.0,1850,2123.0,2045,WN,205,N299WN,143.0,115.0,97.0,38.0,10.0,JAN,MDW,666,40.0,6.0,0,N,0,1.0,0.0,28.0,0.0,9.0
56,2008,1,3,4,948.0,925,959.0,940,WN,3430,N487WN,71.0,75.0,59.0,19.0,23.0,JAX,BHM,365,3.0,9.0,0,N,0,0.0,0.0,0.0,0.0,19.0
57,2008,1,3,4,646.0,620,725.0,655,WN,1580,N243WN,99.0,95.0,77.0,30.0,26.0,JAX,BNA,484,6.0,16.0,0,N,0,26.0,0.0,4.0,0.0,0.0
58,2008,1,3,4,1110.0,1040,1136.0,1110,WN,2195,N479WN,86.0,90.0,72.0,26.0,30.0,JAX,BNA,484,5.0,9.0,0,N,0,0.0,0.0,0.0,10.0,16.0
64,2008,1,3,4,2139.0,2130,2244.0,2240,WN,378,N726SW,65.0,70.0,54.0,4.0,9.0,JAX,FLL,318,3.0,8.0,0,N,0,,,,,
69,2008,1,3,4,1738.0,1730,1841.0,1840,WN,3948,N467WN,63.0,70.0,49.0,1.0,8.0,JAX,FLL,318,6.0,8.0,0,N,0,,,,,
70,2008,1,3,4,1813.0,1735,1936.0,1905,WN,54,N643SW,143.0,150.0,125.0,31.0,38.0,JAX,HOU,816,6.0,12.0,0,N,0,11.0,0.0,0.0,0.0,20.0
71,2008,1,3,4,802.0,750,1001.0,955,WN,2272,N263WN,119.0,125.0,104.0,6.0,12.0,JAX,IND,688,7.0,8.0,0,N,0,,,,,
74,2008,1,3,4,1734.0,1650,1941.0,1905,WN,23,N521SW,127.0,135.0,113.0,36.0,44.0,JAX,PHL,742,4.0,10.0,0,N,0,3.0,0.0,0.0,0.0,33.0
75,2008,1,3,4,712.0,700,926.0,915,WN,1232,N663SW,134.0,135.0,120.0,11.0,12.0,JAX,PHL,742,5.0,9.0,0,N,0,,,,,
76,2008,1,3,4,1318.0,1310,1410.0,1400,WN,977,N376SW,52.0,50.0,39.0,10.0,8.0,JAX,TPA,180,4.0,9.0,0,N,0,,,,,
77,2008,1,3,4,958.0,900,1052.0,950,WN,1574,N791SW,54.0,50.0,36.0,62.0,58.0,JAX,TPA,180,4.0,14.0,0,N,0,0.0,0.0,4.0,0.0,58.0
78,2008,1,3,4,1859.0,1850,1950.0,1945,WN,2019,N392SW,51.0,55.0,38.0,5.0,9.0,JAX,TPA,180,4.0,9.0,0,N,0,,,,,
79,2008,1,3,4,1538.0,1445,1753.0,1710,WN,500,N799SW,75.0,85.0,60.0,43.0,53.0,LAS,ABQ,487,4.0,11.0,0,N,0,15.0,0.0,0.0,0.0,28.0
81,2008,1,3,4,2248.0,2125,102.0,2345,WN,890,N618WN,74.0,80.0,60.0,77.0,83.0,LAS,ABQ,487,4.0,10.0,0,N,0,7.0,0.0,0.0,0.0,70.0
82,2008,1,3,4,1327.0,1230,1550.0,1500,WN,1171,N682SW,83.0,90.0,65.0,50.0,57.0,LAS,ABQ,487,3.0,15.0,0,N,0,50.0,0.0,0.0,0.0,0.0
84,2008,1,3,4,1614.0,1600,1833.0,1825,WN,1925,N509SW,79.0,85.0,60.0,8.0,14.0,LAS,ABQ,487,4.0,15.0,0,N,0,,,,,
